,Unnamed: 0,Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non),Département,Région
88,,Ministères économiques et financiers,95000.0,215.0,215.0,215.0,286.0,286.0,,,27807.0,153696.0,51683.0,228450.0,67486.0,,,529122,OUI,VAL-D'OISE,ILE-DE-FRANCE
89,,Ministères économiques et financiers,95000.0,215.0,215.0,215.0,286.0,286.0,,,27807.0,153696.0,51683.0,228450.0,67486.0,,,529122,OUI,VAL-D'OISE,ILE-DE-FRANCE
90,,Ministères économiques et financiers,95000.0,215.0,215.0,215.0,286.0,286.0,,,27807.0,153696.0,51683.0,228450.0,67486.0,,,529122,OUI,VAL-D'OISE,ILE-DE-FRANCE
91,,Ministères économiques et financiers,95000.0,215.0,215.0,215.0,286.0,286.0,,,27807.0,153696.0,51683.0,228450.0,67486.0,,,529122,OUI,VAL-D'OISE,ILE-DE-FRANCE
92,,Ministères économiques et financiers,77186.0,260.0,260.0,260.0,260.0,260.0,,,42354.0,240289.0,117991.0,258251.0,96808.0,,,755693,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
93,,Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
94,,Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
95,,Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
96,,Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
97,,Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
98,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
99,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
