,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
87,3759.0,5914.0,,9814.0,11398.0,76000.0,0.0,,SEINE-MARITIME,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,30885,278,
88,125110.0,92129.0,,242017.0,154418.0,76100.0,29256.0,,,OUI,205.0,205.0,,205.0,205.0,Ministères économiques et financiers,205.0,,HAUTE-NORMANDIE,642930,279,
89,2270.0,4110.0,,7892.0,9850.0,76000.0,0.0,,SEINE-MARITIME,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,24122,280,
90,6814.0,10998.0,,17736.0,26205.0,76000.0,0.0,,SEINE-MARITIME,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,HAUTE-NORMANDIE,61753,281,
91,1021.0,751.0,,4861.0,3877.0,76000.0,0.0,,SEINE-MARITIME,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,10510,282,
92,31644.0,27359.0,,128064.0,114772.0,27000.0,0.0,,EURE,OUI,132.0,132.0,,132.0,132.0,Ministères économiques et financiers,132.0,,HAUTE-NORMANDIE,301839,283,
93,13348.0,13944.0,,41822.0,39602.0,27307.0,0.0,,,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,48.0,,HAUTE-NORMANDIE,108716,284,
94,14319.0,16349.0,,34869.0,36180.0,27500.0,0.0,,EURE,OUI,50.0,50.0,,50.0,50.0,Ministères économiques et financiers,50.0,,HAUTE-NORMANDIE,101717,285,
95,13233.0,18477.0,,22429.0,28637.0,27000.0,8446.0,,EURE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,HAUTE-NORMANDIE,91222,304,
96,8902.0,6786.0,,45276.0,37820.0,27400.0,0.0,,EURE,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,HAUTE-NORMANDIE,98784,305,
97,2634.0,3069.0,,11397.0,15662.0,,0.0,,,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,32762,325,
98,34512.0,26497.0,,136642.0,92759.0,76600.0,17291.0,,SEINE-MARITIME,OUI,200.0,200.0,,200.0,167.0,Ministères économiques et financiers,167.0,,HAUTE-NORMANDIE,307701,326,
99,52272.0,47725.0,,75120.0,59231.0,76700.0,11833.0,,SEINE-MARITIME,OUI,70.0,70.0,,70.0,70.0,Ministères économiques et financiers,70.0,,HAUTE-NORMANDIE,246181,327,
100,16643.0,13088.0,,52858.0,37228.0,76600.0,6081.0,,SEINE-MARITIME,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,HAUTE-NORMANDIE,125898,332,
101,4799.0,3339.0,,18464.0,15001.0,76600.0,0.0,,SEINE-MARITIME,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,41603,333,
102,7668.0,6396.0,,28943.0,24728.0,14360.0,0.0,,CALVADOS,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,67735,334,
103,65227.99999999999,45248.0,,118970.0,71015.0,14000.0,12265.0,,CALVADOS,OUI,144.0,144.0,,144.0,144.0,Ministères économiques et financiers,144.0,,BASSE-NORMANDIE,312726,335,
104,18062.0,14003.0,,47873.0,37572.0,14400.0,6797.0,,CALVADOS,OUI,70.0,70.0,,70.0,70.0,Ministères économiques et financiers,70.0,,BASSE-NORMANDIE,124307,336,
